MLSNumber|Category|Status|Price|SoldDate|SoldPrice|StNumber|StDir|StName|StType|Unit|City|Locale|ZipCode|Subdivision|County|Area|MLSSubAreaCode|Bdrm|Bath|Style|LandSize|GarType|GarSpaces|Elementary|MiddleSchool|HighSchool|OfficeName|OfficePhone|AgentName|AgentPhone|OfficeCode|DOM|AssessorCode|YearBuilt|NewConstruction|TotalSqFt|FinishedSQFTincBasement|FinishedSQFT|LowerSQFT|MainFloorSQFT|UpperSQFT|BasementSQFT|BasementFoundation|DesignFeatures|Fireplace|Heating|MasterBedroomBath|Type|Acres|LotSize|Zoning|AssocFee|EstAnnualTaxes|TaxYear|LargeText|TotalUnits|HalfBaths|ThreeQuarterBaths|FG_Description|Longitude|Latitude|FullBaths|LastUpdateDate|ListDate|BuyerOfficeMlsId|BuyerAgentFirstName|BuyerAgentLastName|FG_NewFinancing|FG_Ownership|AssocFeeFreq
1016682|1|Sold|425000|10/21/2024|425000|4103|W|9th|St||Greeley|Greeley|80634|Westmoor Acres 1st FLG|Weld|10|2|5|3|1 Story/Ranch||Attached|2|Shawsheen|Franklin|Northridge|Sears Real Estate|9703307700|Cathy Cowles|9703026623|1SEAR|67||1977|0|2330|2132|1165||1165||1165|Full Basement,90%+ Finished Basement|Separate Dining Room,Stain/Natural Trim|Family/Recreation Room Fireplace,Masonry Fireplace,Single Fireplace|Forced Air|3/4 Primary Bath||0.26|11444|RL||1686|2023|Don't miss this well-maintained beauty on over a quarter-acre manicured lot!  Step into this space that is perfectly arranged for entertaining, complete with brand new flooring on the main floor.  The easy flow from the large living room into the separate dining area and large kitchen will provide space for all of your guests.  The 42" semi-custom oak cabinets provide ample storage, and the breakfast bar is perfect for setting up a laptop.  Don't miss the garage with its own AC, attached workbench, and even a built-in air compressor for your next project! Five bedrooms provide a private space for everyone, and a cozy basement den with wood-burning fireplace will quickly become the favorite space for binge-watching  The fifth bedroom off the laundry area could be a location for a home office.||0|2||-104.74647|40.42388|1|Oct 22 2024 04:54PM|08/15/2024|TONYC|Karen|Edwards|Cash,Conventional,FHA,VA|Private Owner|
1017096|1|Sold|430000|09/09/2024|441000|1620||51st|Ave||Greeley|Greeley|80634|Country Club West|Weld|10|10|3|2|1 Story/Ranch||Attached|3|Monfort|Heath|Greeley Central|Elevations Real Estate, LLC|9705352000|Kamara Shanks|9704435850|ELVRE|19|R7658699|2001|0|2396|1212|1212||1212||1184|Full Basement,Unfinished Basement|Eat-in Kitchen,Open Floor Plan||Forced Air|3/4 Primary Bath||0.17|7460|RES||1869|2024|Don't miss out on the chance to own this delightful ranch-style home in the sought-after Country Club West neighborhood, where there's no HOA and room for your RV. The home boasts fresh interior paint and an open floor plan that creates a light, airy atmosphere. The fully fenced backyard offers privacy with no neighbors to the east, making it an ideal spot for relaxation and gatherings. With 3 bedrooms, 2 bathrooms, an unfinished basement ready for your personal touch, and a 3-car garage, this property blends practicality with comfort. In a community near schools and convenient shopping.||0|0||-104.76594|40.41158|2|Sep 10 2024 11:30AM|08/22/2024|EXPRE|Tanja|Nelson|Cash,Conventional,FHA,VA|Private Owner|
1017115|1|Sold|415000|10/11/2024|415000|1956||23rd|Ave Ct||Greeley|Greeley|80634|ROLLING HILLS|Weld|10|9|4|3|1 Story/Ranch||Attached|2|Meeker|Heath|Greeley Central|C3 Real Estate Solutions, LLC|9702255152|Jason Mahoney|9706672509|JCSRE|50|095912414024|1964|0|2808|2300|1404||1404||1404|Full Basement,75%+Finished Basement|Eat-in Kitchen,Separate Dining Room,Open Floor Plan|2+ Fireplaces|Forced Air|3/4 Primary Bath||0.23|10019|R-L||1509|2023|Back on market?Due to no fault of seller!    This charming ranch-style home that seamlessly combines comfort and versatility across two generous levels. With 4 bedrooms and 3 bathrooms, this home offers a spacious layout designed for both relaxation and functionality.  The main level showcases 3 bedrooms and 2 bathrooms, featuring a spacious living room, a charming, cozy wood fireplace and a large formal dining room with skylights that fill the space with natural light. Unwind on the tranquil covered front porch or make the most of the expansive covered back patio-perfect for both relaxing and entertaining.  The finished basement significantly expands the living space, including an additional bedroom, bathroom, and a large living area with a second wood fireplace. You'll adore the huge bonus room, which offers limitless possibilities. Whether you see it as a sewing room, game room, extra storage, or an additional bedroom, you'll truly appreciate the extra space. The basement also features a laundry room and ample storage space, ensuring all your needs are met. Outside, the property includes a 2-car attached garage with plenty of shelving, a shed, and a shop, all situated on a large lot offering abundant space for outdoor activities and hobbies. Don't miss your chance to own this well-appointed and versatile home!||0|2||-104.71661|40.40703|1|Oct 11 2025 04:15AM|08/23/2024|CDHRY|Yadira|Carrillo|Cash,Conventional,FHA,VA|Private Owner|
1017265|1|Sold|439900|10/28/2024|445500|1205||24th|Ave Ct||Greeley|Greeley|80634|Westview|Weld|10|9|5|3|1 Story/Ranch||Attached|2|Scott|Franklin|Greeley Central|Sears Real Estate|9703307700|Bonnie Martin|9705760502|1SEAR|64||1964|0|2760|2760|1380||1380||1380|Full Basement,90%+ Finished Basement|Separate Dining Room,Pantry,Walk-in Closet,Washer/Dryer Hookups,Wood Floors||Forced Air|Full Primary Bath||0.38|16413|RES||1983|2023|*** This AMAZING home is back on the market at no fault of its own*** Nestled in a charming and mature neighborhood, this all-brick ranch home offers a blend of comfort, space, and convenience. Boasting five spacious bedrooms and three bathrooms, this home is a buyer's delight. Updated kitchen features quartz countertops, tiled floors, a gas range, white cabinets, stainless steel appliances, a tiled backsplash, and a pantry. The finished basement adds extra living space, which includes a family room, 2 bedrooms and a bath. Situated on a double lot, the property provides ample outdoor space, including a double gate for easy RV access. Whether you're hosting gatherings or enjoying quiet moments in the yard, you'll appreciate the privacy and room to roam. The location is unbeatable-close to schools, shopping, dining, and other amenities. This home is a rare find in a well-established neighborhood, offering the perfect mix of modern convenience and classic charm. Don't miss the opportunity to make this beautiful property your forever home!||0|1||-104.71921|40.41964|2|Oct 30 2024 10:12AM|08/19/2024|0RECM|Claudia|Loera|Cash,Conventional,FHA,VA|Private Owner|
1017494|1|Expired|449900|||627||35th|Ave Ct||Greeley|Greeley|80634|Edwards Homes|Weld|10|2|5|3|1 Story/Ranch||Detached|3|Shawsheen|Franklin|Northridge|NextHome Foundations|9703535006|LaRue Hauf|9703960345|1RSRE|93|1888886|1963|0|2604|2604|1372||1372||1232|Full Basement,90%+ Finished Basement|Separate Dining Room||Forced Air|3/4 Primary Bath||0.18|8000|Res Medium||2034|2024|Well-maintained brick ranch style home on corner lot.  Main level features large living area, great eat-in kitchen, 3 bedrooms and 2 baths. Large living room, dining room and kitchen w/abundance of cabinets.  Main floor laundry.  Basement has a full kitchen, living room, 2 bedrooms and bath. Use as rental or for personal use. Furnace new 2020 & roof new 2018. Central air & whole house fan. One car garage plus detached oversize 2 car w/overhead doors, front and back. Fenced yard, Storage shed, sprinkler system, central air.  Vinyl windows. Buyer to verify schools and measurements.||0|1||-104.736457|40.426578|2|Nov 30 2024 12:06AM|08/27/2024||||Cash,Conventional,FHA,VA|Private Owner|
1017516|1|Expired|410000|||1834||24th|Ave||Greeley|Greeley|80634|Rolling Hills|Weld|10|9|4|2|1 Story/Ranch||Attached|1|Meeker|Heath|Greeley Central|C3 Real Estate Solutions, LLC|9702255152|Erin Brady|9709788698|JCSRE|1||1966|0|2054|2000|1027||1027||1027|Full Basement|Eat-in Kitchen,Separate Dining Room,Open Floor Plan,Washer/Dryer Hookups,Wood Floors|Re-circulating Fireplace|Forced Air|Shared Primary Bath||0.15|6389|RES||1778|2023|Welcome to Rolling Hills Subdivision! This beautiful ranch style home has 4 bedrooms, 2 baths, and a 1 car garage. The kitchen has plenty of counterspace, including bar seating, and stainless-steel appliances. Central A/C. Living room fireplace. The basement bedrooms are conforming with closets and egress windows! Large fenced in back yard, mature trees, and a covered patio in the back, great for entertaining. No HOA! No Metro!||0|1||-104.71741|40.40989|1|Aug 29 2025 04:15AM|08/29/2024||||Cash,Conventional,FHA,VA|Private Owner|
1017633|1|Sold|454900|01/02/2025|450000|4420|W|5th|St||Greeley|Greeley|80634|Westmoor Acres|Weld|10|2|5|3|2 Story||Attached|2|Shawsheen|Franklin|Northridge|Kittle Real Estate|9704604444|Rob Kittle|9704604444|KTLRE|126|095902313006|1978|0|2841|2786|1698||1143|555|1143|Full Basement,90%+ Finished Basement|Open Floor Plan,Walk-in Closet,Loft,Washer/Dryer Hookups,Skylights,Kitchen Island,Two Primary Suites,Split Bedroom Floor Plan|Living Room Fireplace|Forced Air|Full Primary Bath|Contemporary/Modern|0.18|8055|RL||2226|2023|Nestled in the established Westmoor Acres neighborhood, this recently remodeled home blends vintage charm with modern updates, creating a perfect haven for comfortable living. With fresh paint inside and out, new luxury vinyl plank flooring, new carpet, and a host of additional improvements, this home is ready to welcome you in style. The spacious open-concept interior is perfect for everyday living and entertaining, offering a seamless flow between the living, dining, and kitchen areas. Natural light streaming through the windows highlights the new flooring and fresh finishes throughout the space. The kitchen is thoughtfully designed to meet all your culinary needs, with plenty of storage and prep space for those who love to cook. Two bedrooms are located on the main floor, offering convenience and flexibility for guests and family members, as well as a main floor laundry room. Head upstairs to find a small loft area, ideal for a home office, reading nook, or creative space. Adjacent is the spacious primary suite, complete with a walk-in closet and an ensuite bathroom. The finished basement provides even more room to spread out, featuring a recreational area that's perfect for family activities and entertainment. Additionally, there are two more bedrooms here, one of which includes a large bonus room with a second set of washer/dryer hookups and extensive storage space. Outside, the large, fenced backyard is a haven for outdoor activities. It includes a raised deck that is prepped and ready for a hot tub, a storage shed for tools and lawn equipment, and a dedicated firepit area for evening gatherings under the stars. Located close to parks and just minutes away from the vibrant downtown Greeley, this home offers the perfect balance of suburban tranquility and urban convenience. Additional updates include a new garage door and new sprinkler heads. No HOA or Metro District!||0|1||-104.75159|40.42717|2|Jan 02 2026 04:15AM|08/30/2024|9RMSA|Jennifer|Moody-Steyer|Cash,Conventional,FHA,VA|Private Owner|
1017639|1|Sold|410000|11/01/2024|400000|1834||24th|Ave||Greeley|Greeley|80634|Rolling Hills|Weld|10|9|4|2|1 Story/Ranch||Attached|1|Meeker|Heath|Greeley Central|C3 Real Estate Solutions, LLC|9702255152|Erin Brady|9709788698|JCSRE|64||1966|0|2054|2000|1027||1027||1027|Full Basement|Eat-in Kitchen,Separate Dining Room,Open Floor Plan,Washer/Dryer Hookups,Wood Floors|Re-circulating Fireplace|Forced Air|Shared Primary Bath||0.15|6389|RES||1778|2023|Welcome to Rolling Hills Subdivision! This beautiful ranch style home has 4 bedrooms, 2 baths, and a 1 car garage. The kitchen has plenty of counterspace, including bar seating, and stainless-steel appliances. Central A/C. Living room fireplace. The basement bedrooms are conforming with closets and egress windows! Large fenced in back yard, mature trees, and a covered patio in the back, great for entertaining. No HOA! No Metro!||0|1||-104.71741|40.40989|1|Nov 01 2025 04:15AM|08/30/2024|ROGF1|JoAnne|Fernandez|Cash,Conventional,FHA,VA|Private Owner|
1017776|1|Sold|425000|10/23/2024|415000|1731||33rd|Ave||Greeley|Greeley|80634|Woodbriar 2nd Fg 1st Rplt|Weld|10|9|4|2|Bi-Level||Attached|2|Other|Other|Other|Realty One Group Fourpoints CO|9705735880|Jacob Busekrus|7196485843|ROGFC|49||1973|0|2016|2016|1128||1128||888|90%+ Finished Basement,Crawl Space||Single Fireplace|Forced Air|3/4 Primary Bath||0.2|8653|SFR||1940|2023|Welcome to this beautifully updated home on the end of a quiet cul-de-sac.  Large tree in the front that helps keep the house cool.  4 bed and 2 bath with a master suite in the basement.  Fully remodeled kitchen with stainless appliance's.  2 remodeled bathrooms.  Tankless water heater.  Brand new back door glass.  New roof in 2018.  New siding in 2020.  Lage backyard with a fire pit, horse shoe pit and deck for entertainment.   Half zero scaped lawn for easy maintenance.  Large 16'x8' shed with electrical in the backyard.  No HOA. And a very rare, mineral rights included.||0|1||-104.73325|40.41106|1|Nov 03 2024 07:06PM|09/02/2024|COOP|Non-IRES|Agent|Cash,Conventional,FHA,VA|Private Owner|
1017927|1|Expired|399900|||518||37th|Ave||Greeley|Greeley|80634|Edwards Homes|Weld|10|2|5|3|1 Story/Ranch||Attached|2|Shawsheen|Franklin|Northridge|RE/MAX Alliance-Greeley|9703305000|Chad Nixon|9707760658|1RMFG|274||1971|0|2160|1824|1080||1080||1080|Full Basement,90%+ Finished Basement|Separate Dining Room,Washer/Dryer Hookups|Gas Fireplace,Family/Recreation Room Fireplace|Forced Air|3/4 Primary Bath||0.16|7150|R-E||1634|2023|Introducing the best investment opportunity in Greeley: a rental to add to your portfolio or the perfect home to make your own. This 5 bed, 3 bath ranch style home offers a finished basement, attached 2 car garage and a fully fenced backyard waiting for your personal touches. The convenient yet quiet location gives you easy access to shops, restaurants and schools. Whether you're an investor looking for a rental with tenants already in place, a first time buyer on the hunt for an affordable start to homeownership, or anywhere in between, your search ends at 518 37th Avenue.||0|2||-104.73886|40.4283|1|Jun 05 2026 04:15AM|09/05/2024||||Cash,Conventional,FHA,VA|Private Owner|
