MLSNumber|Category|Status|Price|SoldDate|SoldPrice|StNumber|StDir|StName|StType|Unit|City|Locale|ZipCode|Subdivision|County|Area|MLSSubAreaCode|Bdrm|Bath|Style|LandSize|GarType|GarSpaces|Elementary|MiddleSchool|HighSchool|OfficeName|OfficePhone|AgentName|AgentPhone|OfficeCode|DOM|AssessorCode|YearBuilt|NewConstruction|TotalSqFt|FinishedSQFTincBasement|FinishedSQFT|LowerSQFT|MainFloorSQFT|UpperSQFT|BasementSQFT|BasementFoundation|DesignFeatures|Fireplace|Heating|MasterBedroomBath|Type|Acres|LotSize|Zoning|AssocFee|EstAnnualTaxes|TaxYear|LargeText|TotalUnits|HalfBaths|ThreeQuarterBaths|FG_Description|Longitude|Latitude|FullBaths|LastUpdateDate|ListDate|BuyerOfficeMlsId|BuyerAgentFirstName|BuyerAgentLastName|FG_NewFinancing|FG_Ownership|AssocFeeFreq
1015068|1|Sold|385000|08/13/2024|400000|4325|W|6th|St||Greeley|Greeley|80634|Westmoor Acres|Weld|10|2|4|3|Four-Level||Attached|2|Shawsheen|Franklin|Northridge|Sears Real Estate|9703307700|Darla Francies|9703307700|1SEAR|20||1978|0|2487|2487|1887|729|702|456|702|Partial Basement,90%+ Finished Basement|Eat-in Kitchen,Separate Dining Room|Family/Recreation Room Fireplace|Forced Air|3/4 Primary Bath||0.19|8273|RL||1888|2023|Welcome to this 1978 spacious 4-level. This home offers versatile spaces for living, dining and entertaining. Large windows throughout ensure plenty of natural light, while the large lot boasts a spacious yard, perfect for gardening or outdoor activities. Located close to schools, shopping and parks, this home is ready for you to make your own. Schedule your private showing today!||1|1||-104.74949|40.42778|1|Aug 27 2024 04:15AM|07/25/2024|07631|Ryan P|Smith|Cash,Conventional|Private Owner,Licensed Owner|
1015137|1|Sold|415000|09/20/2024|425000|2722||19th|St Rd||Greeley|Greeley|80634|Rolling Hills|Weld|10|9|5|3|Four-Level||Attached|2|Meeker|Heath|Greeley Central|Sears Real Estate|9703307700|Steve Baker|9703020879|1SEAR|58||1973|0|2488|2388|1816|480|680|656|672|Full Basement,90%+ Finished Basement|Eat-in Kitchen,Separate Dining Room,Open Floor Plan,Walk-in Closet,Washer/Dryer Hookups|Gas Fireplace,Family/Recreation Room Fireplace|Forced Air|3/4 Primary Bath|Contemporary/Modern|0.2|8800|RL||1385|2023|You can tell when a home has been loved, and you'll love it too! Fantastic 4 level in Rolling Hills, just appraised at $450,000 featuring 5 bedrooms, 3 baths, updated kitchen, newer roof, vinyl windows, vinyl siding, gas fireplace in the family room, eat-in kitchen and separate dining room, lovely corner lot with fenced yard covered patio, 2 sheds, and an oversized garage on a cul-de-sac! No HOA, no metro district! See it today!||0|2||-104.724375|40.4207|1|Sep 25 2024 08:33AM|07/25/2024|EXPRE|Desarey|Fajardo|Cash,Conventional,FHA,VA|Private Owner|
1015196|1|Sold|450000|10/18/2024|450000|4315|W|16th|St Rd||Greeley|Greeley|80634|College Green 4th filing|Weld|10|10|4|2|Four-Level||Attached|2|Monfort|Heath|Greeley Central|eXp Realty - Loveland|8884402724|Michele Taylor|9705561108|07397|85||1985|0|2093|2000|1557|524|527|536|506|Partial Basement|Eat-in Kitchen,Separate Dining Room,Cathedral/Vaulted Ceilings,Open Floor Plan,Workshop|Family/Recreation Room Fireplace|Forced Air|Shared Primary Bath||0.25|10931|RES||1793|2023|PRICE IMPROVEMENT! Beautifully well kept move-in ready home with NO HOA! This property is located on a 1/4 Acre private lot with double gates for easy RV Parking. Inside you will find an ideal floor plan with multiple living spaces including a living room with vaulted ceilings as you enter the home and a lower level family room with wood burning fireplace. The Kitchen is updated with granite counter tops, soft close drawers, tile floors and stainless appliances. 3 bedrooms upstairs and an additional office, hobby room or non conforming bedroom in the basement with a storage room. Outside you will find a large lush peaceful landscaped backyard with fruit trees of peaches, plums & nectarines, along with gardens of tomatoes, zucchini and watermelon! There is also a fenced in dog run and a storage shed for all your gardening supplies. Close to Aims College, Golf Course, multiple parks and shopping.||0|1||-104.748559|40.410274|1|Oct 18 2024 12:00PM|07/26/2024|0RERE|Samuel|Schall|Cash,Conventional,FHA,VA|Private Owner|
1015304|1|Sold|410000|12/02/2024|410000|525||35th|Ave Ct||Greeley|Greeley|80634|Edwards Homes 3rd Add|Weld|10|2|5|2|1 Story/Ranch||Detached|2|Shawsheen|Franklin|Greeley West|Kreps Wiedeman|9703563943|Terry Wiedeman|9703563943|1KREP|108||1964|0|2780|2780|1780||1780||1000|Full Basement|Eat-in Kitchen,Separate Dining Room,Fire Alarm,Kitchen Island|Living Room Fireplace|Forced Air,Baseboard Heat|Shared Primary Bath||0.21|9000|Res||1308|2023|Don't miss out on this beautifully updated home nestled in the heart of Greeley.  This Ranch style home has 5 bedroom, 2 baths and a 2 car detached garage. Also has an additional storage shed with plenty of room for your yard equipment. Property comes with ALL appliances including the washer & dryer and has a new furnace and water heater!!!  NO HOA and is within walking distance of all the amenities that the Bittersweet Plaza and the 10th Street corridor have to offer.  Near the intersection of 10th St (Hwy 34) & 35th Ave, it's in between the Bittersweet, Westmoor and Franklin Parks!||0|2||-104.73644|40.42792|0|Dec 02 2024 03:06PM|07/27/2024|HRGFC|Lizza|Kiese-Martinez|Cash,Conventional,FHA,VA|Private Owner|
1015310|1|Expired|387000|||1604||28th|Ave||Greeley|Greeley|80634|Rolling Hills|Weld|10|9|4|3|Tri-Level||Attached|2|Scott|Heath|Greeley Central|JPAR Modern Real Estate|3034333158|Jamie Goodvin|9703244748|0MODR|22||1972|0|2340|2340|1719||1719||621|Full Basement,90%+ Finished Basement|||Forced Air|||0.23|10000|SFR||2037|2023|||1|1||-104.72447|40.41447|1|Aug 18 2024 12:06AM|07/26/2024||||Cash,Conventional,FHA,VA|Private Owner|
1015416|1|Sold|400000|10/18/2024|405000|4013|W|13th|St||Greeley|Greeley|80634|Bittersweet|Weld|10|10|3|3|Bi-Level||Attached|2|Scott|Franklin|Greeley Central|C3 Real Estate Solutions, LLC|9702255152|Erin Brady|9709788698|JCSRE|78||1979|0|1811|1793|1793|618|1|1192|0|No Basement|Separate Dining Room,Cathedral/Vaulted Ceilings|Family/Recreation Room Fireplace|Forced Air|Full Primary Bath||0.22|9781|RES||1773|2023|Welcome home! Charming 3 bedroom, 3 bathroom, 2 car garage home located in the desirable Bittersweet neighborhood. A garden level  lower level allows you to walk out to the huge backyard! Mature landscaping, and sprinklers in the front and back yard. Central A/C!  All appliances included! No HOA!||1|0||-104.74404|40.41813|2|Oct 18 2024 11:27AM|07/30/2024|KTLRE|Max|Sepulveda|Cash,Conventional,FHA,VA|Private Owner|
1015897|1|Sold|390000|09/18/2024|390000|1730||34th|Ave||Greeley|Greeley|80634|Woodbriar|Weld|10|9|2|2|Tri-Level||Attached|2|Scott|Heath|Greeley Central|Porchlight RE Group-Boulder|3037335335|Jessica Luginbill|3038081306|PREGB|42||1976|0|1662|1662|831|420|411|420|411|Partial Basement,Unfinished Basement,Sump Pump|Eat-in Kitchen,Washer/Dryer Hookups|Basement Fireplace,Single Fireplace|Forced Air|||0.18|7700|SFR||1063|2023|Located in the heart of Greeley, this adorable home includes two bedrooms, two baths, an attached two-car garage, and no HOA! Enjoy a tranquil setting while living conveniently close to restaurants, grocery stores, parks, hospitals and schools-both UNC and Aims Community College are less than five miles away. Once inside, you're sure to feel right at home. This beauty provides plenty of room to entertain and flows out to a sprawling, fully fenced backyard paired with the perfect deck for hosting barbecues or simply relaxing. Want to expand and create your dream space? The unfinished basement gives you the opportunity to truly put your stamp on this property. All kitchen and laundry appliances are included, along with a charming wood stove and a handy garage fridge. Don't miss out on making this amazing house your home sweet home!||0|1||-104.73361|40.41133|1|Sep 18 2025 04:15AM|08/06/2024|1SEAR|Brad|Inhulsen|Cash,Conventional,FHA,VA|Private Owner|
1015952|1|Expired|412000|||3001|W|12th|St||Greeley|Greeley|80634|Wilshire|Weld|10|9|3|2|1 Story/Ranch||Attached|1|Scott|Heath|Greeley Central|RE/MAX Alliance-Greeley|9703305000|Chad Nixon|9707760658|1RMFG|267||1960|0|2160|1580|1080||1080||1080|Full Basement|Separate Dining Room,Washer/Dryer Hookups,Wood Floors||Forced Air|Full Primary Bath||0.16|7081|RES||1567|2023|Welcome to 3001 12th St- the beautifully updated, all brick ranch gem of Greeley. Natural light and freshly refinished hardwood floors welcome you into the charming, yet modern, home. The main floor holds two bedrooms, a separate dining space and perfectly updated kitchen with granite countertops, gas range, and modernized cabinets; the main floor bath has top quality finishes to match. The basement offers a 3/4 bath, along with a non-conforming (framed and insulated) bedroom and an unfinished space, both ready for your personal touch. The backyard is ideal for entertaining or relaxing. To top it off: a 1 car garage, an extended driveway available for RV/boat parking and no HOA or metro district. Welcome home!||0|1||-104.72851|40.42034|1|Apr 30 2026 04:15AM|08/07/2024||||Cash,Conventional,FHA,VA|Private Owner|
1015980|1|Sold|378000|09/12/2024|391000|3126|W|5th|St||Greeley|Greeley|80634|BROADVIEW ACRES 8TH ADD|Weld|10|3|4|2|1 Story/Ranch||Attached|1|Madison|Franklin|Greeley West|C3 Real Estate Solutions, LLC|9702255152|Pres Montoya|9703811973|JCSRE|37||1969|0|1890|1721|945||945||945|Full Basement,75%+Finished Basement|Eat-in Kitchen,Pantry,Bay or Bow Window,Washer/Dryer Hookups||Forced Air||Legal, Conforming|0.15|6561|RES||1533|2023|Amazing home at an amazing value! After 50 years, this meticulously maintained 4 bedroom,  2 bath home is ready for new owners to make their nest. All the worrisome maintenance has already been done: new HVAC system in 2019 (the AC blows cold!), new water heater in 2024 (ready for the long hot showers), new sewer line from the house to the street in 2022, new roof in 2015, new carpet up and down in 2024, basement lvp in 2018, kitchen updated with beautiful, solid-wood cabinets, soft close drawers, granite countertops and lvp floors in 2016 and freshly painted throughout in 2024. All kitchen and laundry appliances are included. There's so much value built in to this clean and cozy home, all that's left to do is deciding how to arrange the furniture! This home would be great for those seeking a main floor living setup- seller had plumbing for washer and dryer hookups installed in second upstairs bedroom closet, allowing for convenient main floor laundry access. Original hookups in basement are still in place if new owners would like to move laundry to basement and use upstairs room for a bedroom or office space. The upstairs bathroom has a low curb shower to ensure easy accessibility. 2 large windows in living room provide glorious natural light and adds to the peaceful homey vibe. Downstairs there are 2 nicely-finished non-conforming bedrooms with closets, a 3/4 bath and a generous family room area to expand the living space. The vintage piano can stay if buyers would like! Outside, there's an attached storage area that was built in 2012 to handle all the extras. A concrete patio, fully fenced yard with mature landscaping, and working sprinkler system round out this lovely property. Nestled in a quiet, established neighborhood with easy access to Business 34, shopping and restaurants. This move-in ready house, is prepared for you to stop by, sit a while and envision yourself at home.||0|2||-104.73193|40.42777|0|Sep 13 2024 10:51AM|08/07/2024|L1ST|June|Lemmings|Cash,Conventional,FHA,VA|Private Owner|
1016238|2|Expired|260000|||1925||28th|Ave||Greeley|Greeley|80634|Cottonwood Creek|Weld|10|9|2|2|2 Story||Attached|1|Meeker|Heath|Greeley Central|NextHome Foundations|9703535006|Bonnie Sherman|9703018239|1RSRE|418||1973|0|2136|1424|1424||712|712|712|Full Basement,25%+Finished Basement|Separate Dining Room,Open Floor Plan|Living Room Fireplace|Forced Air|Shared Primary Bath||||RL|525|1217|2023|Price reduced $26,000 below appraised price. Lovely 2 bedroom 2 bathroom home with a new deck off the primary bedroom that was installed December 2024. Upstairs also features an extra loft/study area and also has an unfinished basement with the potential to finish for a 3rd bedroom. Home is centrally located to parks, shopping and schools. Call with any questions||1|0|Condo,Loft|-104.72761|40.40876|1|Oct 01 2025 12:06AM|08/09/2024||||Cash,Conventional|Private Owner|Monthly
